1.1.1.37	Malate dehydrogenase (EC 1.1.1.37)
1.4.1.3	Glutamate dehydrogenase (GDH) (EC 1.4.1.3)
1.1.1.22	UDP-glucose 6-dehydrogenase YwqF (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22)
1.17.99.6	Epoxyqueuosine reductase (EC 1.17.99.6) (Queuosine biosynthesis protein QueG)
1.1.1.53	3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase (EC 1.1.1.53)
1.8.1.15	Mycothione reductase (EC 1.8.1.15) (Mycothiol-disulfide reductase) (NADPH-dependent mycothione reductase)
1.2.4.4	3-methyl-2-oxobutanoate dehydrogenase subunit beta (EC 1.2.4.4) (Branched-chain alpha-ketoacid dehydrogenase E1 component subunit beta) (BCKADH E1-beta)
1.2.4.1	Pyruvate dehydrogenase E1 component (PDH E1 component) (EC 1.2.4.1)
1.8.7.1	Sulfite reductase [ferredoxin] (EC 1.8.7.1)
1.14.14.12	"Flavin-dependent monooxygenase, oxygenase subunit HsaA (EC 1.14.14.12) (3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione 4-hydroxylase, oxygenase subunit) (3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase)"
1.14.13.59	L-lysine N6-monooxygenase MbtG (EC 1.14.13.59) (Lysine 6-N-hydroxylase) (Lysine N6-hydroxylase) (Lysine-N-oxygenase) (Mycobactin synthase protein G)
1.5.1.36	"Flavin-dependent monooxygenase, reductase subunit HsaB (EC 1.5.1.36) (3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione 4-hydroxylase, reductase subunit) (Flavin:NADH reductase)"
1.11.1.18	Putative non-heme bromoperoxidase BpoC (EC 1.11.1.18)
1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157) (Beta-hydroxybutyryl-CoA dehydrogenase) (BHBD)
1.13.11.25	Iron-dependent extradiol dioxygenase (EC 1.13.11.25)
1.14.19.n4	Stearoyl-CoA 9-desaturase (EC 1.14.19.n4) (Delta(9)-desaturase) (Stearoyl-CoA desaturase)
1.14.21.9	Mycocyclosin synthase (EC 1.14.21.9) (Cytochrome P450 121) (Cytochrome P450 MT2)
1.14.13.70	Lanosterol 14-alpha demethylase (EC 1.14.13.70) (CYPLI) (Cytochrome P450 51) (Cytochrome P450-14DM) (Cytochrome P450-LIA1) (Sterol 14-alpha demethylase)
1.14.13.188	6-deoxyerythronolide B hydroxylase (6-DEB hydroxylase) (EC 1.14.13.188) (CYPCVIIA1) (Cytochrome P450 107A1) (Cytochrome P450eryF) (Erythromycin A biosynthesis hydroxylase)
1.3.99.27	"Hydroxyneurosporene desaturase (HND) (1-hydroxycarotenoid 3,4-dehydrogenase) (1-hydroxycarotenoid 3,4-desaturase) (EC 1.3.99.27)"
1.14.13.182	"2-heptyl-3-hydroxy-4(1H)-quinolone synthase (EC 1.14.13.182) (2-heptyl-3,4-dihydroxyquinoline synthase)"
1.4.1.23	Valine dehydrogenase (ValDH) (EC 1.4.1.23)
1.1.99.28	Glucose--fructose oxidoreductase (GFOR) (EC 1.1.99.28)
1.2.1.81	Sulfoacetaldehyde dehydrogenase (acylating) (EC 1.2.1.81)
1.14.15.3	Alkane 1-monooxygenase 1 (EC 1.14.15.3) (Alkane hydroxylase) (AHs) (Terminal alkane hydroxylase)
1.14.13.9	Kynurenine 3-monooxygenase (EC 1.14.13.9) (Kynurenine 3-hydroxylase)
1.13.11.6	"3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase) (3-HAO) (3-hydroxyanthranilic acid dioxygenase) (HAD)"
1.13.11.11	"Tryptophan 2,3-dioxygenase (TDO) (EC 1.13.11.11) (Tryptamin 2,3-dioxygenase) (Tryptophan oxygenase) (TO) (TRPO) (Tryptophan pyrrolase) (Tryptophanase)"
1.1.1.313	Sulfoacetaldehyde reductase 2 (EC 1.1.1.313) (Isethionate formation reductase 2)
1.1.1.338	(2R)-3-sulfolactate dehydrogenase (NADP(+)) (EC 1.1.1.338) ((R)-2-hydroxyacid dehydrogenase) ((R)-sulfolactate dehydrogenase)
1.1.1.310	(S)-sulfolactate dehydrogenase (EC 1.1.1.310) ((2S)-3-sulfolactate dehydrogenase) ((S)-sulfolactate oxidoreductase)
1.14.99.44	"Diapolycopene oxygenase (EC 1.14.99.44) (4,4'-diaponeurosporene oxidase)"
1.3.8.10	Cyclohex-1-ene-1-carbonyl-CoA dehydrogenase (Ch1CoA) (EC 1.3.8.10)
1.3.8.11	Cyclohexane-1-carbonyl-CoA dehydrogenase (ChCoA) (EC 1.3.8.11)
1.2.7.10	Oxalate oxidoreductase subunit delta (OOR delta subunit) (EC 1.2.7.10)
1.13.11.79	"5,6-dimethylbenzimidazole synthase (DMB synthase) (EC 1.13.11.79)"
1.1.1.274	"2,5-diketo-D-gluconic acid reductase A (2,5-DKG reductase A) (2,5-DKGR A) (25DKGR-A) (EC 1.1.1.274) (AKR5C)"
1.16.1.9	NADPH-dependent ferric-chelate reductase (EC 1.16.1.9) (Ferric siderophore reductase)
1.1.1.308	"Sulfopropanediol 3-dehydrogenase (EC 1.1.1.308) (2,3-dihydroxypropane-1-sulfonate 3-dehydrogenase (sulfolactate forming)) (DHPS 3-dehydrogenase (sulfolactate forming))"
1.13.11.49	Chlorite dismutase (EC 1.13.11.49) (Chlorite O(2)-lyase)
1.11.1.19	Dye-decolorizing peroxidase Tfu_3078 (DyP) (EC 1.11.1.19) (Peroxidase Tfu_3078)
1.14.13.92	Phenylacetone monooxygenase (PAMO) (EC 1.14.13.92) (Baeyer-Villiger monooxygenase) (BVMO)
1.8.98.1	HdrC CoB--CoM heterodisulfide reductase iron-sulfur subunit C
1.7.2.6	Hydroxylamine oxidoreductase (HAO) (EC 1.7.2.6)
1.14.13.195	L-ornithine N(5)-monooxygenase (EC 1.14.13.195) (L-ornithine N(5)-hydroxylase) (Ornithine hydroxylase) (L-ornithine N(5)-oxygenase) (Pyoverdin biosynthesis protein A)
1.7.2.1	Copper-containing nitrite reductase (EC 1.7.2.1) (Cu-NIR)
1.2.1.80	Long-chain acyl-[acyl-carrier-protein] reductase (AAR) (Acyl-ACP reductase) (EC 1.2.1.80)
1.8.7.2	"Ferredoxin-thioredoxin reductase, catalytic chain (FTR-C) (EC 1.8.7.2) (Ferredoxin-thioredoxin reductase subunit B) (FTR-B)"
1.8.1.5	"2-oxopropyl-CoM reductase, carboxylating (EC 1.8.1.5) (Aliphatic epoxide carboxylation component II) (NADPH:2-ketopropyl-CoM carboxylase/oxidoreductase) (2-KPCC)"
1.1.1.268	2-(R)-hydroxypropyl-CoM dehydrogenase (R-HPCDH) (EC 1.1.1.268) (Aliphatic epoxide carboxylation component III)
1.7.2.5	Nitric oxide reductase subunit B (EC 1.7.2.5) (NOR large subunit) (Nitric oxide reductase cytochrome b subunit)
1.2.1.9	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.9) (Glyceraldehyde-3-phosphate dehydrogenase [NADP(+)]) (Non-phosphorylating glyceraldehyde 3-phosphate dehydrogenase) (Triosephosphate dehydrogenase)
1.1.1.311	(S)-1-Phenylethanol dehydrogenase (EC 1.1.1.311)
1.1.1.87	Homoisocitrate dehydrogenase (HICDH) (EC 1.1.1.87)
1.14.14.9	4-hydroxyphenylacetate 3-monooxygenase oxygenase component (EC 1.14.14.9) (4-HPA 3-hydroxylase) (4-HPA 3-monooxygenase large component)
1.1.1.103	L-threonine 3-dehydrogenase (EC 1.1.1.103)
1.6.5.11	NADH-quinone oxidoreductase subunit 15 (EC 1.6.5.11) (NADH dehydrogenase I chain 15) (NDH-1 subunit 15)
1.2.1.88	1-pyrroline-5-carboxylate dehydrogenase (P5C dehydrogenase) (EC 1.2.1.88) (L-glutamate gamma-semialdehyde dehydrogenase)
1.2.1.n2	Fatty acyl-CoA reductase (EC 1.2.1.n2)
1.2.1.26	"Alpha-ketoglutaric semialdehyde dehydrogenase (alphaKGSA dehydrogenase) (EC 1.2.1.26) (2,5-dioxovalerate dehydrogenase)"
1.14.99.15	Cytochrome p450 CYP199A2 (EC 1.14.99.15) (4-methoxybenzoate O-demethylase CYP199A2) (4-methoxybenzoate monooxygenase (O-demethylating))
1.2.2.3	Formate dehydrogenase 2 subunit alpha (cytochrome c-553) (FDH2 subunit alpha (cytochrome c-553)) (EC 1.2.2.3) (Formate dehydrogenase large subunit (cytochrome c-553))
1.3.1.44	Trans-2-enoyl-CoA reductase [NADH] (TER) (EC 1.3.1.44)
1.14.99.48	Heme oxygenase (staphylobilin-producing) 1 (EC 1.14.99.48) (Heme-degrading monooxygenase 1) (Iron-regulated surface determinant 1) (Iron-responsive surface determinant 1)
1.1.1.203	Uronate dehydrogenase (EC 1.1.1.203) (D-galacturonate dehydrogenase) (D-glucuronate dehydrogenase) (Hexuronate dehydrogenase)
1.8.99.1	Sulfite reductase MccA (EC 1.8.99.1)
1.14.15.11	Pentalenic acid synthase (EC 1.14.15.11)
1.14.13.133	Pentalenene oxygenase (EC 1.14.13.133)
1.14.11.36	Pentalenolactone F synthase (EC 1.14.11.36) (Neopentalenolactone F synthase) (EC 1.14.11.-) (Neopentalenolactone biosynthesis protein D)
1.14.13.171	Neopentalenolactone D synthase (EC 1.14.13.171) (Neopentalenolactone biosynthesis protein E)
1.1.1.340	1-deoxy-11-beta-hydroxypentalenate dehydrogenase (EC 1.1.1.340) (Neopentalenolactone biosynthesis protein F)
1.14.11.35	1-deoxypentalenic acid 11-beta-hydroxylase (EC 1.14.11.35) (Neopentalenolactone biosynthesis protein H)
1.3.1.86	Crotonyl-CoA reductase (EC 1.3.1.86)
1.1.1.94	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase)
1.13.11.5	"Homogentisate 1,2-dioxygenase (HGDO) (EC 1.13.11.5) (Homogentisate oxygenase) (Homogentisic acid oxidase) (Homogentisicase)"
1.17.2.1	Nicotinate dehydrogenase subunit B (EC 1.17.2.1) (Nicotinate degradation protein B) (Nicotinate dehydrogenase large subunit)
1.13.11.9	"2,5-dihydroxypyridine 5,6-dioxygenase (2,5-DHP dioxygenase) (EC 1.13.11.9) (Nicotinate degradation protein X)"
1.14.13.114	6-hydroxynicotinate 3-monooxygenase (6HNA monooxygenase) (EC 1.14.13.114) (Nicotinate degradation protein C)
1.13.11.57	Gallate dioxygenase (EC 1.13.11.57) (Gallate degradation protein A)
1.3.99.33	Urocanate reductase (EC 1.3.99.33)
1.17.7.1	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin) (EC 1.17.7.1) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)
1.1.1.325	Sepiapterin reductase (SPR) (cSR) (EC 1.1.1.325)
1.14.13.24	3-hydroxybenzoate 6-hydroxylase (EC 1.14.13.24)
1.12.98.3	FpoA F(420)H(2) dehydrogenase subunit A
1.4.1.11	"L-erythro-3,5-diaminohexanoate dehydrogenase (EC 1.4.1.11)"
1.8.1.19	SudB Sulfide dehydrogenase subunit beta
1.13.11.61	Linolenate 9R-lipoxygenase (EC 1.13.11.61) (NspLOX)
1.14.11.n3	L-proline cis-4-hydroxylase (P4H) (EC 1.14.11.n3)
1.3.7.5	Phycocyanobilin:ferredoxin oxidoreductase (PCB:ferredoxin oxidoreductase) (EC 1.3.7.5)
1.6.3.4	Flavo-diiron protein FprA2 (FDP 2) (Flavoprotein A2) (H(2)O-forming NADH oxidase) (EC 1.6.3.4) (NADH oxidase) (NADH:O(2) oxidoreductase)
1.1.1.107	Pyridoxal 4-dehydrogenase (tPLDH) (EC 1.1.1.107)
1.2.1.3	Putative aldehyde dehydrogenase SAV2122 (EC 1.2.1.3)
1.14.21.7	Biflaviolin synthase CYP158A2 (EC 1.14.21.7) (Cytochrome P450 158A2) (CYP158A2)
1.1.1.281	GDP-6-deoxy-D-mannose reductase (EC 1.1.1.281)
1.1.1.108	L-carnitine dehydrogenase (CDH) (L-CDH) (EC 1.1.1.108)
1.5.1.21	Delta(1)-pyrroline-2-carboxylate/Delta(1)-piperideine-2-carboxylate reductase (Pyr2C/Pip2C reductase) (EC 1.5.1.21) (Delta(1)-pyrroline-(4S)-hydroxy-2-carboxylate reductase) (Pyr4SH2C reductase) (EC 1.5.1.-) (Proline ketimine reductase)
1.13.12.16	Nitronate monooxygenase (EC 1.13.12.16) (Nitroalkane oxidase)
1.2.1.20	Glutarate-semialdehyde dehydrogenase DavD (EC 1.2.1.20)
1.21.98.1	Cyclic dehypoxanthine futalosine synthase (Cyclic DHFL synthase) (EC 1.21.98.1) (Dehypoxanthine futalosine cyclase) (DHFL cyclase) (Menaquinone biosynthetic enzyme MqnC)
1.5.1.43	Carboxynorspermidine synthase (EC 1.5.1.43) (Carboxynorspermidine dehydrogenase) (CANSDH)
1.1.1.81	Hydroxypyruvate reductase (HPR) (EC 1.1.1.81)
1.4.1.21	L-aspartate dehydrogenase (EC 1.4.1.21)
1.1.1.24	Quinate/shikimate dehydrogenase (NAD(+)) (QSDH) (EC 1.1.1.-) (EC 1.1.1.24)
1.1.2.8	Quinoprotein ethanol dehydrogenase (QEDH) (EC 1.1.2.8)
1.14.11.39	L-asparagine oxygenase (EC 1.14.11.39) (L-asparagine 3-hydroxylase)
2.7.1.59	N-acetylgalactosamine kinase AgaK (GalNAc kinase) (EC 2.7.1.-) (N-acetylglucosamine kinase) (GlcNAc kinase) (EC 2.7.1.59)
2.6.1.83	LL-diaminopimelate aminotransferase (DAP-AT) (DAP-aminotransferase) (LL-DAP-aminotransferase) (EC 2.6.1.83)
2.5.1.6	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)
2.7.2.1	Acetate kinase (EC 2.7.2.1) (Acetokinase)
2.4.2.47	Alpha-(1->3)-arabinofuranosyltransferase (EC 2.4.2.47) (Arabinofuranan 3-O-arabinosyltransferase)
2.7.7.24	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24) (dTDP-glucose pyrophosphorylase) (dTDP-glucose synthase)
2.4.1.250	D-inositol 3-phosphate glycosyltransferase (EC 2.4.1.250) (N-acetylglucosamine-inositol-phosphate N-acetylglucosaminyltransferase) (GlcNAc-Ins-P N-acetylglucosaminyltransferase)
2.7.13.3	Signal-transduction histidine kinase senX3 (EC 2.7.13.3)
2.7.7.6	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')
2.7.7.68	2-phospho-L-lactate guanylyltransferase (LP guanylyltransferase) (EC 2.7.7.68)
2.4.1.57	GDP-mannose-dependent alpha-(1-2)-phosphatidylinositol mannosyltransferase (EC 2.4.1.57) (Alpha-mannosyltransferase) (Guanosine diphosphomannose-phosphatidyl-inositol alpha-mannosyltransferase) (Phosphatidylinositol alpha-mannosyltransferase) (PI alpha-mannosyltransferase)
2.1.3.3	Ornithine carbamoyltransferase (OTCase) (EC 2.1.3.3)
2.6.1.42	Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42)
2.5.1.86	"Decaprenyl diphosphate synthase (DecaPP) (EC 2.5.1.86) (Decaprenyl pyrophosphate synthase) (Long-chain isoprenyl diphosphate synthase) (Trans,polycis-decaprenyl diphosphate synthase)"
2.7.8.35	Decaprenyl-phosphate N-acetylglucosaminephosphotransferase (EC 2.7.8.35) (Decaprenyl-phosphate GlcNAc-1-phosphate transferase) (Decaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase) (UDP-GlcNAc:decaprenyl-phosphate GlcNAc-1-phosphate transferase) (UDP-N-acetylglucosamine--decaprenyl-phosphate N-acetylglucosaminephosphotransferase)
2.4.1.266	Glucosyl-3-phosphoglycerate synthase (EC 2.4.1.266)
2.5.1.68	"(2Z,6E)-farnesyl diphosphate synthase (EC 2.5.1.68) (Short-chain Z-isoprenyl diphosphate synthase) (Z-FPP synthase) (Z-FPPS) (Z-Polyprenyl diphosphate synthase) (Z-isoprenyl diphosphate synthase)"
2.7.7.85	DNA integrity scanning protein DisA (Cyclic-di-AMP synthase) (c-di-AMP synthase) (Diadenylate cyclase) (EC 2.7.7.85)
2.1.1.44	Histidine N-alpha-methyltransferase (EC 2.1.1.44) (Histidine trimethyltransferase)
2.4.1.287	"Galactofuranosyl transferase GlfT1 (GalTr) (EC 2.4.1.287) (Beta-D-(1->5)galactofuranosyltransferase) (Beta-D-(1->6)galactofuranosyltransferase) (Rhamnopyranosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,3/1,4-galactofuranosyltransferase) (UDP-Galf:alpha-3-L-rhamnosyl-alpha-D-GlcNAc-pyrophosphate polyprenol, UDP-galactofuranosyl transferase)"
2.3.1.136	Polysialic acid O-acetyltransferase (EC 2.3.1.136) (Capsule O-acetyl transferase)
2.4.1.278	3-alpha-mycarosylerythronolide B desosaminyl transferase (EC 2.4.1.278) (Desosaminyl transferase EryCIII) (Erythromycin biosynthesis protein CIII)
2.1.1.254	Erythromycin 3''-O-methyltransferase (EC 2.1.1.254) (Erythromycin biosynthesis protein G)
2.7.2.4	Aspartate kinase Ask_Ect (EC 2.7.2.4) (Aspartokinase)
2.5.1.94	Adenosyl-chloride synthase (EC 2.5.1.94) (5'-chloro-5'-deoxyadenosine synthase) (Chlorinase SalL)
2.7.1.180	FAD:protein FMN transferase (EC 2.7.1.180) (Flavin transferase)
2.5.1.55	2-dehydro-3-deoxyphosphooctonate aldolase (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase) (KDO 8-P synthase) (KDOPS) (Phospho-2-dehydro-3-deoxyoctonate aldolase)
2.7.11.1	Serine/threonine-protein kinase PknA (EC 2.7.11.1)
2.1.1.79	Cyclopropane mycolic acid synthase MmaA2 (CMAS) (EC 2.1.1.79) (Cyclopropane-fatty-acyl-phospholipid synthase) (CFA synthase) (Mycolic acid methyltransferase) (MA-MT) (S-adenosylmethionine-dependent methyltransferase) (AdoMet-MT) (SAM-MT)
2.7.1.20	Adenosine kinase (AK) (EC 2.7.1.20)
2.1.1.192	Probable dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)
2.3.1.39	Polyketide biosynthesis protein BaeE [Includes: Malonyl CoA-acyl carrier protein transacylase (MCT) (EC 2.3.1.39)]
2.4.1.268	Glucosylglycerate synthase (EC 2.4.1.268)
2.4.1.270	Mannosylglucosyl-3-phosphoglycerate synthase (EC 2.4.1.270)
2.7.8.24	Phosphatidylcholine synthase (PC synthase) (PCS) (EC 2.7.8.24) (CDP-diglyceride-choline O-phosphatidyltransferase)
2.4.1.247	D-galactosyl-beta-1->4-L-rhamnose phosphorylase (EC 2.4.1.247)
2.4.1.211	"1,3-beta-galactosyl-N-acetylhexosamine phosphorylase Cphy0577 (EC 2.4.1.211) (D-galactosyl-1,4-L-rhamnose phosphorylase)"
2.4.1.282	3-O-alpha-D-glucosyl-L-rhamnose phosphorylase (EC 2.4.1.282) (3-O-alpha-D-glucopyranosyl-L-rhamnopyranose:phosphate beta-D-glucosyltransferase)
2.4.1.279	Nigerose phosphorylase (EC 2.4.1.279)
2.7.7.7	pol DNA polymerase, archaea type
2.3.3.8	ATP-citrate lyase alpha-subunit AclA
2.8.4.1	mcrA methyl-coenzyme M reductase alpha subunit
2.1.1.297	Release factor glutamine methyltransferase (RF MTase) (EC 2.1.1.297) (N5-glutamine methyltransferase PrmC) (Protein-(glutamine-N5) MTase PrmC) (Protein-glutamine N-methyltransferase PrmC)
2.7.1.90	"Pyrophosphate--fructose 6-phosphate 1-phosphotransferase (EC 2.7.1.90) (6-phosphofructokinase, pyrophosphate dependent) (PPi-dependent phosphofructokinase) (PPi-PFK) (Pyrophosphate-dependent 6-phosphofructose-1-kinase)"
2.4.2.1	Purine nucleoside phosphorylase DeoD-type (PNP) (EC 2.4.2.1)
2.3.1.41	Phenolphthiocerol synthesis polyketide synthase type I Pks15/1 (Beta-ketoacyl-acyl-carrier-protein synthase I) (EC 2.3.1.41)
2.1.1.228	tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)
2.4.1.161	Oligosaccharide 4-alpha-D-glucosyltransferase (EC 2.4.1.161) (Alpha-glucosidase 31B) (CJAgd31B)
2.5.1.7	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)
2.3.3.9	Malate synthase G (EC 2.3.3.9)
2.5.1.78	"6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)"
2.4.1.20	Cellobiose phosphorylase (EC 2.4.1.20)
2.4.99.19	Undecaprenyl-diphosphooligosaccharide--protein glycotransferase (EC 2.4.99.19) (Protein glycosylation B)
2.3.2.3	Phosphatidylglycerol lysyltransferase (EC 2.3.2.3) (Lysylphosphatidylglycerol synthase) (LPG synthase)
2.1.1.37	Modification methylase AplI (M.AplI) (EC 2.1.1.37) (Cytosine-specific methyltransferase AplI)
2.1.1.210	Demethylspheroidene O-methyltransferase (EC 2.1.1.210) (Hydroxyneurosporene methyltransferase)
2.4.1.332	"1,2-alpha-glucosylglycerol phosphorylase (EC 2.4.1.332) (2-O-alpha-glucosylglycerol phosphorylase) (GGP)"
2.4.1.329	Sucrose 6(F)-phosphate phosphorylase (EC 2.4.1.329)
2.7.1.45	2-dehydro-3-deoxygluconokinase (EC 2.7.1.45) (2-keto-3-deoxygluconokinase) (3-deoxy-2-oxo-D-gluconate kinase) (KDG kinase)
2.4.1.319	"Beta-1,4-mannooligosaccharide phosphorylase (EC 2.4.1.319) (RaMP2)"
2.4.1.281	4-O-beta-D-mannosyl-D-glucose phosphorylase (MGP) (Mannosylglucose phosphorylase) (EC 2.4.1.281) (RaMP1)
2.7.7.12	Galactose-1-phosphate uridylyltransferase (Gal-1-P uridylyltransferase) (EC 2.7.7.12) (UDP-glucose--hexose-1-phosphate uridylyltransferase)
2.7.1.162	N-acetylhexosamine 1-kinase (EC 2.7.1.162) (N-acetylgalactosamine/N-acetylglucosamine 1-kinase)
2.4.2.9	Bifunctional protein pyrR [Includes: Pyrimidine operon regulatory protein; Uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9)]
2.7.1.179	Kanosamine kinase (EC 2.7.1.179)
2.3.1.201	"UDP-2-acetamido-3-amino-2,3-dideoxy-D-glucuronate N-acetyltransferase (UDP-D-GlcNAc3NA N-acetyltransferase) (EC 2.3.1.201) (UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronic acid 3-N-acetyltransferase)"
2.3.1.117	"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase) (Tetrahydropicolinate succinylase)"
2.7.1.4	Putative fructokinase (EC 2.7.1.4) (Glucomannan utilization protein E)
2.3.1.234	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD)
2.3.1.168	Dihydrolipoyllysine-residue acyltransferase component of branched-chain alpha-ketoacid dehydrogenase complex (EC 2.3.1.168) (Branched-chain alpha-ketoacid dehydrogenase complex component E2) (BCKADH E2) (Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase)
2.7.2.15	Propionate kinase (EC 2.7.2.15)
2.7.1.175	Maltokinase (MaK) (EC 2.7.1.175) (Maltose-1-phosphate synthase)
2.6.1.104	3-oxo-glucose-6-phosphate:glutamate aminotransferase (EC 2.6.1.104) (3-dehydro-glucose-6-phosphate--glutamate transaminase) (Kanosamine 6-phosphate transaminase)
2.3.1.n4	1-acyl-sn-glycerol-3-phosphate acyltransferase (1-AGP acyltransferase) (1-AGPAT) (1-acyl-G3P acyltransferase) (EC 2.3.1.n4) (Lysophosphatidic acid acyltransferase) (LPAAT) (Phosphatidic acid synthase) (PA synthase)
2.7.7.63	Lipoate-protein ligase LplJ (EC 2.7.7.63) (Lipoate--protein ligase)
2.3.1.202	"UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase (EC 2.3.1.202) (Pseudaminic acid biosynthesis protein H)"
2.6.1.92	"UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase (EC 2.6.1.92) (Pseudaminic acid biosynthesis protein C)"
2.5.1.16	Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16)
2.7.1.33	Type III pantothenate kinase (EC 2.7.1.33) (PanK-III) (Pantothenic acid kinase)
2.5.1.15	Bifunctional dihydropteroate synthase/dihydropteroate reductase [Includes: Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase); Dihydropteroate reductase (EC 1.5.1.-)]
2.4.2.19	Probable nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating]) (QAPRTase)
2.3.1.129	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (UDP-N-acetylglucosamine acyltransferase) (EC 2.3.1.129)
2.7.7.3	Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)
2.7.1.107	Diacylglycerol kinase (DAG kinase) (DAGK) (EC 2.7.1.107)
2.7.6.5	GTP pyrophosphokinase YjbM (EC 2.7.6.5) ((p)ppGpp synthase YjbM) (Small alarmone synthase 1) (SAS 1)
2.7.1.23	NAD kinase 1 (EC 2.7.1.23) (ATP-dependent NAD kinase) (Poly(P)-dependent NAD kinase) (PPNK)
2.8.1.10	Thiazole synthase (EC 2.8.1.10)
2.7.1.69	Transcriptional regulator ManR (Mannose operon transcriptional activator) [Includes: Putative phosphotransferase enzyme IIB component (EC 2.7.1.69) (Putative PTS system EIIB component); Putative phosphotransferase enzyme IIA component (EC 2.7.1.-) (Putative PTS system EIIA component)]
2.7.1.100	Methylthioribose kinase (MTR kinase) (EC 2.7.1.100)
2.7.4.22	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
2.8.4.3	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase (EC 2.8.4.3) ((Dimethylallyl)adenosine tRNA methylthiotransferase MiaB) (tRNA-i(6)A37 methylthiotransferase)
2.8.1.8	Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA)
2.8.1.7	Cysteine desulfurase SufS (EC 2.8.1.7)
2.3.1.1	Amino-acid acetyltransferase (EC 2.3.1.1) (N-acetylglutamate synthase) (AGS) (NAGS)
2.4.2.8	Hypoxanthine phosphoribosyltransferase (HPRT) (EC 2.4.2.8)
2.7.1.30	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)
